,P1,P2,P3,sum_of_sl
0,-0.0022869410012961136,0.012841314923064152,0.0033397978728515504,0.00018128371792822313
1,-0.0008602835387908699,0.005018396348838636,-0.0030384906253130093,3.515681496126654e-05
2,-0.002053716701032193,-0.017481200192227455,0.1306409763199709,0.01737687480628403
3,-0.0007413997925218892,0.01095178854971207,0.019811538814435425,0.0005129884162858373
4,-0.0036790840607809528,-0.11895103569983824,0.654715717715111,0.44281555557680335
5,-0.0006823483396241185,-0.05131787093168067,0.5291725614047558,0.28265758921988726
6,-0.009268638556793095,-0.20363270591522464,0.47867900139040453,0.27068577295116775
7,0.02085216877848532,0.969816793890993,0.2110962549740037,0.9855410555198207
8,-0.00033060189535929487,0.008986393872727292,-0.01179065065044325,0.0002198840152098036
9,-0.9997271783978317,0.02258011557348801,-0.0030896787939918477,0.999973838961652
